"number","outgoing","incoming","carrier","gender","color","closeness","eccentricity","arpu","betweenness","communityID","age","promotion"
"089-1000050","0","7","DTAC","unknown","#5851cd","0.0","0.0","unknown","0.0","4","unknown","unknown"
"089-1000021","0","5","TRUE","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000070","0","12","TRUE","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000061","0","6","DTAC","unknown","#b94b85","0.0","0.0","unknown","0.0","1","unknown","unknown"
"089-1000089","0","12","DTAC","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000094","0","8","DTAC","unknown","#7f6045","0.0","0.0","unknown","0.0","2","unknown","unknown"
"089-1000091","0","9","DTAC","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000082","0","13","DTAC","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000076","0","4","TRUE","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000095","0","10","DTAC","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000048","0","14","DTAC","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000033","0","8","TRUE","unknown","#7f6045","0.0","0.0","unknown","0.0","2","unknown","unknown"
"089-1000073","0","6","TRUE","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000060","0","7","DTAC","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000001","54","7","AIS","female","#a7cc45","1.76","3.0","820","49.507348207348215","5","25","c"
"089-1000017","48","9","AIS","male","#eea399","1.8","3.0","616","65.59672965922967","3","25","e"
"089-1000006","34","19","AIS","female","#7f6045","1.84","3.0","687","94.35268065268065","2","36","b"
"089-1000028","0","16","DTAC","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000065","0","8","TRUE","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000038","0","15","TRUE","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000011","47","7","AIS","male","#5851cd","1.67","3.0","442","66.33641497391497","4","29","g"
"089-1000042","0","7","TRUE","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000002","58","13","AIS","female","#eea399","1.64","3.0","817","85.98970335220336","3","35","a"
"089-1000046","0","11","DTAC","unknown","#cd78aa","0.0","0.0","unknown","0.0","0","unknown","unknown"
"089-1000020","61","9","AIS","female","#eea399","1.64","3.0","413","96.53932040182042","3","40","f"
"089-1000047","0","15","DTAC","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000010","46","10","AIS","male","#b94b85","1.66","3.0","488","112.24109085359086","1","28","h"
"089-1000019","41","14","AIS","female","#a7cc45","1.9","4.0","538","51.79868464868465","5","34","f"
"089-1000013","44","13","AIS","male","#cd78aa","1.76","3.0","443","95.23529803529804","0","30","a"
"089-1000018","51","10","AIS","male","#cd78aa","1.69","3.0","603","101.09147519147521","0","30","f"
"089-1000079","0","19","TRUE","unknown","#eea399","0.0","0.0","unknown","0.0","3","unknown","unknown"
"089-1000014","50","8","AIS","male","#5851cd","1.75","3.0","466","97.2735209235209","4","23","d"
"089-1000027","0","19","DTAC","unknown","#a7cc45","0.0","0.0","unknown","0.0","5","unknown","unknown"
"089-1000012","50","13","AIS","female","#a7cc45","1.8","3.0","709","74.13108835608836","5","29","e"
"089-1000003","58","12","AIS","male","#cd78aa","1.74","3.0","651","73.29893856143856","0","22","e"
