"a_number","b_number","duration","calleeCarrier","weight","startTime","callDay","startDate"
"3","4","503","","30001.0","195958.0","Monday","20150904"
"3","1","544","","23041.0","124543.0","Friday","20150915"
"3","1","76","","1.0","41814.0","Thursday","20150928"
"3","0","36","","41041.0","123344.0","Saturday","20150916"
"3","2","385","","19921.0","65351.0","Tuesday","20150912"
"3","0","593","","1.0","165943.0","Monday","20150904"
"3","1","107","","1.0","231845.0","Tuesday","20150912"
"3","4","472","","1.0","204741.0","Monday","20150911"
"3","0","407","","1.0","92754.0","Friday","20150901"
"3","4","567","","1.0","84015.0","Monday","20150904"
"3","5","277","","42001.0","143111.0","Thursday","20150928"
"3","1","186","","1.0","24127.0","Tuesday","20150905"
"3","5","554","","1.0","61936.0","Tuesday","20150905"
"3","1","87","","1.0","52633.0","Friday","20150901"
"3","4","382","","1.0","154816.0","Thursday","20150907"
"3","2","181","","1.0","221644.0","Thursday","20150907"
"3","4","329","","1.0","174218.0","Wednesday","20150920"
"3","5","453","","1.0","171211.0","Saturday","20150902"
"3","5","157","","1.0","75434.0","Friday","20150901"
"3","2","206","","1.0","104655.0","Wednesday","20150906"
"3","0","37","","1.0","62833.0","Wednesday","20150920"
"3","0","81","","1.0","145617.0","Monday","20150918"
"3","0","433","","1.0","83211.0","Monday","20150918"
"3","5","243","","1.0","135327.0","Thursday","20150921"
"3","4","368","","1.0","221212.0","Thursday","20150907"
"3","4","557","","1.0","94855.0","Monday","20150918"
"3","1","11","","1.0","154432.0","Friday","20150901"
"3","4","528","","1.0","205748.0","Saturday","20150930"
"3","1","364","","1.0","74752.0","Saturday","20150923"
"3","4","447","","1.0","204534.0","Friday","20150922"
"3","4","92","","1.0","54910.0","Friday","20150901"
"3","0","530","","1.0","121346.0","Tuesday","20150905"
"3","0","59","","1.0","21348.0","Wednesday","20150927"
"3","5","201","","1.0","51125.0","Saturday","20150909"
"3","0","344","","1.0","121848.0","Tuesday","20150919"
"3","5","112","","1.0","175159.0","Saturday","20150902"
"3","1","352","","1.0","111124.0","Thursday","20150907"
"3","0","348","","1.0","234539.0","Wednesday","20150913"
"3","0","276","","1.0","43845.0","Tuesday","20150912"
"3","5","378","","1.0","131522.0","Monday","20150925"
"3","0","518","","1.0","182346.0","Saturday","20150916"
"3","0","92","","1.0","3456.0","Friday","20150929"
"3","2","374","","1.0","225352.0","Monday","20150904"
"3","1","81","","1.0","81014.0","Friday","20150929"
"3","0","340","","1.0","135343.0","Thursday","20150907"
"3","0","103","","1.0","113853.0","Friday","20150922"
"3","5","290","","1.0","24226.0","Friday","20150901"
"3","5","329","","1.0","131837.0","Saturday","20150916"
"3","1","565","","1.0","72552.0","Monday","20150911"
"3","0","476","","1.0","41342.0","Wednesday","20150920"
"3","2","333","","1.0","204615.0","Friday","20150915"
"3","1","570","","1.0","122654.0","Wednesday","20150927"
"3","0","382","","1.0","154940.0","Wednesday","20150927"
"1","5","175","","18001.0","103154.0","Monday","20150904"
"1","3","163","","13441.0","63317.0","Thursday","20150914"
"1","2","222","","9841.0","223134.0","Tuesday","20150905"
"1","5","543","","1.0","42335.0","Friday","20150908"
"1","4","125","","12481.0","182717.0","Tuesday","20150912"
"1","5","160","","1.0","195518.0","Thursday","20150907"
"1","4","394","","1.0","85157.0","Monday","20150925"
"1","3","432","","1.0","25946.0","Thursday","20150921"
"1","3","569","","1.0","155322.0","Monday","20150925"
"1","5","600","","1.0","43445.0","Wednesday","20150913"
"1","5","232","","1.0","3748.0","Wednesday","20150920"
"1","4","119","","1.0","223828.0","Wednesday","20150913"
"1","0","218","","13921.0","124914.0","Tuesday","20150905"
"1","0","427","","1.0","101954.0","Saturday","20150930"
"1","0","457","","1.0","124812.0","Wednesday","20150913"
"1","0","376","","1.0","25457.0","Wednesday","20150906"
"1","5","460","","1.0","185645.0","Thursday","20150914"
"1","2","233","","1.0","151016.0","Saturday","20150930"
"1","3","422","","1.0","51414.0","Monday","20150918"
"1","3","212","","1.0","45217.0","Friday","20150915"
"1","3","421","","1.0","1734.0","Tuesday","20150912"
"1","0","309","","1.0","221359.0","Friday","20150922"
"1","4","262","","1.0","51029.0","Monday","20150904"
"1","2","456","","1.0","65134.0","Wednesday","20150920"
"1","3","110","","1.0","64644.0","Wednesday","20150927"
"1","5","286","","1.0","124837.0","Thursday","20150928"
"1","5","51","","1.0","72655.0","Friday","20150922"
"1","0","19","","1.0","123129.0","Thursday","20150914"
"1","2","505","","1.0","72126.0","Tuesday","20150912"
"5","3","498","","27601.0","21048.0","Saturday","20150916"
"5","3","255","","1.0","162516.0","Wednesday","20150906"
"5","4","82","","22081.0","41938.0","Friday","20150922"
"5","0","20","","31201.0","71646.0","Friday","20150922"
"5","3","85","","1.0","152334.0","Wednesday","20150913"
"5","4","554","","1.0","202328.0","Saturday","20150909"
"5","0","333","","1.0","45619.0","Friday","20150901"
"5","1","239","","5761.0","125814.0","Monday","20150904"
